Scientific.name,Common.name,Confidence,Audio_IDs,Site_IDs
Lullula arborea,Wood Lark,"0.1,   0.11,   0.11,   0.12,   0.13,   0.14,   0.15,   0.17,   0.18,   0.19,   0.21,   0.24,   0.24,   0.26,   0.32","A025,   A029,   A021,   A036,   A037,   A024,   A027,   xa23,   A023,   A032,   A033,   A026,   A034,   A022,   A035","10,   17,   1,   3,   14,   7,   6,   11,   16,   18,   13,   19,   12,   15,   2"
Turdus merula,Eurasian Blackbird,"0.11,   0.11,   0.11,   0.11,   0.13,   0.14,   0.14,   0.15,   0.16,   0.26,   0.35,   0.35,   0.35,   0.39,   0.48,   0.78","xa23,   A023,   A033,   A032,   A034,   A024,   A037,   A025,   A029,   A022,   A026,   A035,   A036,   A021,   A027,   A030","11,   16,   13,   18,   12,   7,   14,   10,   17,   15,   19,   2,   3,   1,   6,   8"
Fulica atra,Eurasian Coot,"0.1,   0.12,   0.12,   0.13,   0.13,   0.14,   0.15,   0.15,   0.15,   0.16,   0.17,   0.19,   0.19,   0.2,   0.35","A027,   A032,   A021,   A029,   A024,   xa23,   A026,   A034,   A036,   A037,   A035,   A025,   A023,   A033,   A022","6,   18,   1,   17,   7,   11,   19,   12,   3,   14,   2,   10,   16,   13,   15"
Falco tinnunculus,Eurasian Kestrel,"0.1,   0.11,   0.11,   0.11,   0.15,   0.15,   0.2,   0.25,   0.25,   0.25,   0.26,   0.4,   0.56","A029,   A024,   A037,   xa23,   A033,   A023,   A035,   A034,   A025,   A036,   A027,   A021,   A030","17,   7,   14,   11,   13,   16,   2,   12,   10,   3,   6,   1,   8"
Sylvia atricapilla,Eurasian Blackcap,"0.14,   0.14,   0.15,   0.15,   0.15,   0.16,   0.16,   0.17,   0.19,   0.22,   0.25,   0.27,   0.27,   0.39,   0.4,   0.68","A033,   A022,   A024,   A036,   A025,   A027,   xa23,   A034,   A032,   A037,   A026,   A021,   A023,   A035,   A029,   A030","13,   15,   7,   3,   10,   6,   11,   12,   18,   14,   19,   1,   16,   2,   17,   8"
Corvus frugilegus,Rook,"0.1,   0.11,   0.12,   0.12,   0.12,   0.14,   0.14,   0.16,   0.17,   0.19,   0.29,   0.33,   0.41,   0.42,   0.49","A033,   A024,   A023,   xa23,   A026,   A035,   A037,   A032,   A036,   A029,   A021,   A034,   A022,   A025,   A027","13,   7,   16,   11,   19,   2,   14,   18,   3,   17,   1,   12,   15,   10,   6"
Motacilla alba,White Wagtail,"0.11,   0.11,   0.12,   0.13,   0.15,   0.24,   0.27,   0.28,   0.32,   0.37,   0.53,   0.58,   0.88,   0.91,   0.93,   0.95","A029,   A027,   A037,   xa23,   A035,   A033,   A034,   A032,   A021,   A023,   A022,   A036,   A025,   A030,   A026,   A024","17,   6,   14,   11,   2,   13,   12,   18,   1,   16,   15,   3,   10,   8,   19,   7"
Phylloscopus collybita,Common Chiffchaff,"0.1,   0.11,   0.12,   0.14,   0.15,   0.15,   0.17,   0.17,   0.19,   0.25,   0.42,   0.45,   0.58,   0.65,   0.65,   0.75","A025,   A034,   A026,   A035,   xa23,   A022,   A033,   A021,   A036,   A029,   A024,   A023,   A030,   A027,   A032,   A037","10,   12,   19,   2,   11,   15,   13,   1,   3,   17,   7,   16,   8,   6,   18,   14"
Phoenicurus phoenicurus,Common Redstart,"0.1,   0.1,   0.13,   0.15,   0.15,   0.15,   0.16,   0.16,   0.18,   0.2,   0.21,   0.25,   0.28,   0.52","A027,   A024,   A023,   A022,   A021,   A035,   A025,   A037,   A034,   xa23,   A033,   A036,   A026,   A029","6,   7,   16,   15,   1,   2,   10,   14,   12,   11,   13,   3,   19,   17"
Phylloscopus trochilus,Willow Warbler,"0.1,   0.1,   0.11,   0.11,   0.11,   0.12,   0.12,   0.12,   0.12,   0.13,   0.14,   0.16,   0.16,   0.18,   0.2","A033,   A024,   A029,   A027,   A034,   A032,   A036,   A035,   A021,   xa23,   A026,   A037,   A023,   A022,   A025","13,   7,   17,   6,   12,   18,   3,   2,   1,   11,   19,   14,   16,   15,   10"
