Scientific.name,Common.name,Confidence,Audio_IDs,Site_IDs
Turdus merula,Eurasian Blackbird,"0.48,   0.14,   0.78,   0.15,   0.11","A027,   A024,   A030,   A025,   xa23","6,   7,   8,   10,   11"
Sturnus vulgaris,European Starling,"0.13,   0.4,   0.12","A027,   A024,   A025","6,   7,   10"
Parus major,Great Tit,"0.27,   0.11,   0.56,   0.58,   0.38","A027,   A024,   A030,   A025,   xa23","6,   7,   8,   10,   11"
Phalacrocorax carbo,Great Cormorant,"0.3,   0.37,   0.1,   0.21","A027,   A024,   A025,   xa23","6,   7,   10,   11"
Emberiza citrinella,Yellowhammer,"0.11,   0.18,   0.11,   0.13","A027,   A024,   A025,   xa23","6,   7,   10,   11"
Milvus milvus,Red Kite,"0.12,   0.18,   0.13,   0.14","A027,   A024,   A025,   xa23","6,   7,   10,   11"
Curruca communis,Greater Whitethroat,"0.12,   0.18,   0.55,   0.25,   0.31","A027,   A024,   A030,   A025,   xa23","6,   7,   8,   10,   11"
Jynx torquilla,Eurasian Wryneck,"0.14,   0.11,   0.1,   0.1","A027,   A024,   A025,   xa23","6,   7,   10,   11"
Sylvia borin,Garden Warbler,"0.11,   0.11,   0.65,   0.13,   0.17","A027,   A024,   A030,   A025,   xa23","6,   7,   8,   10,   11"
Lanius collurio,Red-backed Shrike,"0.11,   0.21,   0.12","A027,   A024,   xa23","6,   7,   11"
Sylvia atricapilla,Eurasian Blackcap,"0.16,   0.15,   0.68,   0.15,   0.16","A027,   A024,   A030,   A025,   xa23","6,   7,   8,   10,   11"
Hippolais polyglotta,Melodious Warbler,"0.52,   0.19,   0.15,   0.25","A027,   A024,   A025,   xa23","6,   7,   10,   11"
Phoenicurus ochruros,Black Redstart,"0.23,   0.13,   0.14,   0.1","A027,   A024,   A025,   xa23","6,   7,   10,   11"
Motacilla cinerea,Gray Wagtail,"0.12,   0.14,   0.95,   0.11,   0.11","A027,   A024,   A030,   A025,   xa23","6,   7,   8,   10,   11"
Cyanistes caeruleus,Eurasian Blue Tit,"0.28,   0.37,   0.96,   0.19,   0.26","A027,   A024,   A030,   A025,   xa23","6,   7,   8,   10,   11"
Picus viridis,Eurasian Green Woodpecker,"0.28,   0.11,   0.91,   0.95,   0.63","A027,   A024,   A030,   A025,   xa23","6,   7,   8,   10,   11"
Buteo buteo,Common Buzzard,"0.15,   0.16,   0.53,   0.45,   0.12","A027,   A024,   A030,   A025,   xa23","6,   7,   8,   10,   11"
Circus aeruginosus,Eurasian Marsh-Harrier,"0.13,   0.12,   0.16","A027,   A024,   A025","6,   7,   10"
Lullula arborea,Wood Lark,"0.15,   0.14,   0.1,   0.17","A027,   A024,   A025,   xa23","6,   7,   10,   11"
Gallinula chloropus,Eurasian Moorhen,"0.2,   0.1,   0.9,   0.11,   0.24","A027,   A024,   A030,   A025,   xa23","6,   7,   8,   10,   11"
Chlidonias niger,Black Tern,"0.11,   0.11,   0.11","A027,   A025,   xa23","6,   10,   11"
Charadrius hiaticula,Common Ringed Plover,"0.14,   0.11,   0.1,   0.11","A027,   A024,   A025,   xa23","6,   7,   10,   11"
Phylloscopus trochilus,Willow Warbler,"0.11,   0.1,   0.2,   0.13","A027,   A024,   A025,   xa23","6,   7,   10,   11"
Corvus corone,Carrion Crow,"0.27,   0.22,   0.55,   0.27,   0.16","A027,   A024,   A030,   A025,   xa23","6,   7,   8,   10,   11"
Turdus viscivorus,Mistle Thrush,"0.12,   0.14,   0.55,   0.12,   0.23","A027,   A024,   A030,   A025,   xa23","6,   7,   8,   10,   11"
Dendrocopos major,Great Spotted Woodpecker,"0.11,   0.14,   0.75,   0.3,   0.12","A027,   A024,   A030,   A025,   xa23","6,   7,   8,   10,   11"
Oriolus oriolus,Eurasian Golden Oriole,"0.14,   0.1,   0.69,   0.17,   0.1","A027,   A024,   A030,   A025,   xa23","6,   7,   8,   10,   11"
Numenius arquata,Eurasian Curlew,"0.1,   0.11,   0.83,   0.15,   0.12","A027,   A024,   A030,   A025,   xa23","6,   7,   8,   10,   11"
Phylloscopus collybita,Common Chiffchaff,"0.65,   0.42,   0.58,   0.1,   0.15","A027,   A024,   A030,   A025,   xa23","6,   7,   8,   10,   11"
Phoenicurus phoenicurus,Common Redstart,"0.1,   0.1,   0.16,   0.2","A027,   A024,   A025,   xa23","6,   7,   10,   11"
Motacilla alba,White Wagtail,"0.11,   0.95,   0.91,   0.88,   0.13","A027,   A024,   A030,   A025,   xa23","6,   7,   8,   10,   11"
